,,,,,,,,,
,,,,,,,,,
1. Quelle rue habitez-vous ? ,,4. Si vous deviez donner 2 mots ou expressions pour décrire votre quartier : ,,,6. Quel est votre lieu préféré dans le quartier ? ,,"9. Selon vous, sur quoi faut-il agir en priorité pour le futur quartier ? ","11. Si vous aviez une baguette magqiue, qu'est ce que vous changeriez, ajouteriez ou supprimeriez ? ",
rue Languedoc,,Bien,Agréable et joli,Du monde ,Jardiland,,Sur la météo ! ,Une plage,divertissement
rue de Champagne ,"Les gens changent, il n'y a plus de respect",Mieux avant,mieux avant ,Irrespect,cassin  ,,,,
Square Van Gogh,,Ca craint ,Sécurité,,,,"Sur les problèmes de drogue, l'insécurité ",Enlever toutes les racailles ,délinquance
Ecole Valentin ,,Catastrophe,Désagréable,Horrible,Avant ,,Rénovation des logements ,"""Que tout le monde soit agréable et souriant et propre""",propreté
rue Léonard de Vinci ,,Bruyant,Bruit ,De la merde ,Parc urbain ,pour faire du sport ,Plus de travail ,,
rue de Champagne ,Pas d'activités pour les jeunes ,Calme ,calme,,Parc urbain ,,"Des activités pour les enfants, des métiers, occuper les jeunes ",La paix ,délinquance
rue de Champagne ,Réaménagement bien ,Tranquille ,calme,,,,Nettoyer par terre ,Mettre des rosiers dans le parc rue de Champagne ,espaces verts
rue Rembrandt,,Calme ,calme,Bien ,,,,,
avenue de Bourgogne,Plus de mélange entre les gens ,Bien disposé,Tout sur place,Minorités,Cassin ,,,,
rue Vai ,"Plus de magasins et de marchés, mais problèmes de quartier ",Multiculturel ,"Mixité, convivialité et solidarité",Arc en ciel ,Parc Urbain ,,La propreté et des structures pour les enfants (aires de jeux),,
rue saint victor ,,,,,Marché Epoisse,On trouve tous les commerces,,,
avenue ile de France ,"Beaucoup de monde, pas tranquille ",Bruyant,Bruit ,,,,Rien,,
UN POLICIER ,Tout se dégrade,Incivilités,Tensions entre les communautés et irrespect,Poubelle ,Centre Nelson Mandela ,activités culturelles variées ,Le civisme et le vivre-ensemble,Civisme,vivre-ensemble
rue de Franche Comté ,Ca dépend des coins ,Agréable à vivre,Agréable et joli,Tout sur place ,Cassin,Tout est là-bas,Le bruit des motos la nuit. Il faut installer des ralentisseurs. ,Refaire les commerces à Epoisse pour que les jeunes ne puissent plus squatter sous le hall. ,commerces
rue de Fribourg,,Quartier,Tensions entre les communautés et irrespect,Entente,quartier franche-comté,bonne entente,propreté & logements,"""je dégagerai ceux que j'aime pas, ceux qui tuent l'ambiance""",vivre-ensemble
,,Bruyant,Bruit ,Mélange,Fort de Planoise,espaces verts,Les propreté des bâtiments,Construire des logements écologiques,rénovation et réaménagement
rue de reims ,,Tranquille ,calme,,,,La propreté,,
avenue de Bourgogne,Insécurité,Bien,,Dangereux le soir,Chez moi ,,Refaire à neuf les bâtiments,rajouter des magasins,commerces
rue Durer ,Plus calme avant. Ca a beaucoup changé.,Problèmes,Sécurité,Bagarres,Cassin,le plus animé,Un peu sur tout ,,
rue ile de France ,Les nouvelles constructions sont biens.,Grand,Tout sur place,Animé,Parc Urbain ,pour jouer au foot ,La sécurité,je ferai quelque chose qui donnerait de la joie. Comme une autre maison de quartier mieux.,divertissement
avenue de Bourgogne,"C'était mieux avant (délinquance,drogue) ",Cohabitation ,"Mixité, convivialité et solidarité",,avenue de Bourgogne,,Nous permettre de devenir propriétaires; Vendre les appartements pas trop cher.,,
rue Franche Comte ,il se passe trop de choses ici,nul,Désagréable,animé,Cassin ,,Propreté & respect,un cinéma ,divertissement
rue de fribourg ,,sympa ,Agréable et joli,,Parc urbain ,,Plus d'emplois,,
Saint Ferjeux,Moins chaud qu'avant ,Chaud,Sécurité,Faire gaffe ,Château farine,C'est différent,Sécurité,Tout rénover ,rénovation et réaménagement
rue de Cologne,Trop d'immigrants qui parlent pas français,Immigration,"Mixité, convivialité et solidarité",Pas d'intégration ,Tout le quartier ,,Intégration des nouveaux habitants ,Savoir-vivre. Dispatcher les différentes communautés pour que tout le monde se rencontre. ,vivre-ensemble
rue de cosses,Le parc a été refait ,Peuplé,"Mixité, convivialité et solidarité",Animé,Cassin,Commerces,Le respect des gens ,,
rue alexandre calder,,pas bien ,Désagréable,pas convivial,Cassin,,L'état des logements,,
rue jules Gauthier ,,Violence,Sécurité,,Cassin ,,Violences le soir,,
rue colonel morin ,Il faudrait plus de caméras. Marre des scooters le soir. ,Magasins,Tout sur place,Tout sur place ,place cassin ,bien pour trainer ,,,
rue Auguste Rodin,Les bruits de motocross. La délinquance.,Changements,,Manque de respect,aucun ,,Le respect et la propreté,Je changerais tout ! ,
 La Butte,Plus d'espaces verts mais plus d'insécurité,Urbain,,Près de la campagne,Parc urbain ,,L'insécurité,construire un centre omni-sports,divertissement
rue Piémont ,Faudrait tout nettoyer,Insultes,Tensions entre les communautés et irrespect,Bagarres,Chez moi ,,"Sur tout, sur les bandes de jeunes qui trainent",des activités pour les enfants,enfance
rue Franche Comte ,"Calme et tranquille, grâce aux policiers il y a moins de jeunes qu'avant",Calme,calme,HLM,,,,,
rue fribourg,plus la même mentalité qu'avant,Tout ce qu'il faut sur place,Tout sur place,Aimable,,,"La drogue, les bêtises des jeunes",,
rue de Cologne ,"problèmes de bruit, casseurs ",,,,aucun ,,"propreté, sécurité à cause du trafic de drogue ",les jeunes qui vendent de la drogue ,délinquance
rue de Champagne ,plus d'écoles mais trop de bruits ,calme,calme,convivial ,cassin ,commerces,sécurité ,,
rue ile de France ,,famillial ,Agréable et joli,triste ,ile de France ,je connais tout le monde là bas ,ne sait pas ,,
rue ile de France ,,tranquillité ,calme,,intermarché ,,plus de parcs ,les batiments ,rénovation et réaménagement
rue tristan Bernard ,,agréable ,Agréable et joli,calme ,aucun ,,endroits pour faire du sport ,,
rue Durer ,plus de mixité ,Bruyant ,Bruit ,bonne ambiance ,parc urbain ,coin de verdure,entente entre les habitants ,plus de centres commerciaux ,commerces
avenue de Bourgogne,,cité,Désagréable,bruit ,la malcombe ,espaces verts,sécurité ,"les grands immeubles, la racaille ",délinquance
rue léonard de Vinci ,"irrespectueux des voisins, hygiènes ",ca va ,Agréable et joli,laisse tomber ,parc urbain ,,"endroits pour les enfants, activité pour les enfants ",,
rue ile de France ,,bizarre ,Désagréable,cité ,cassin,commerces,airs de jeux ,"magasins de vêtements, jeux enfants ",enfance
rue Languedoc ,,bordel ,Saleté,désordre ,cassin ,commerces ,ne sait pas ,le désordre ,délinquance
rue Rembrandt,la mentalité des gens ,calme ,calme,sympa ,cassin ,,logements ,l'ambiance ,vivre-ensemble
rue Van gogh ,,tranquille ,calme,,aucun ,,rien ,batiments ,rénovation et réaménagement
rue ile de France ,,bien ,Agréable et joli,agréable ,norma ,,"sur l'habitat, proprété ",la violence ,délinquance
rue de Savoie ,,étrangers ,"Mixité, convivialité et solidarité",merde ,intermarché ,,"rénovation des logements, airs de jeux pour enfants ",les logements ,rénovation et réaménagement
rue de Cologne ,,bruyant ,Bruit ,,aucun ,,bruit ,"bruits, nuisances ",bruit
rue d'Ecosse ,,bien ,Agréable et joli,diversités de services ,centre commercial,,"les jeunes moins de 25 ans (emploi, sécurité) ",les grands tours ,rénovation et réaménagement
rue de Champagne ,,vieu ,Saleté,pas propre ,micropolis,espaces verts ,"la proprété, les logements, transports ",les gros blocs ,rénovation et réaménagement
rue Franche Comté ,,simple ,Agréable et joli,bruyant ,aucun ,,rien ,,
avenue de Bourgogne ,,,,,cassin,,sécurité ,,
rue de Picardie ,"vendeurs de drogues, proprété ",Pourri ,Saleté,sale ,la boulangerie ,,la délinquance ,,
rue ile de France ,"bruit, délinquance, incivilité ",bruyant ,Bruit ,,aucun ,,sur les appartements ,les immeubles ,rénovation et réaménagement
